,age,overall,wage_eur,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_curve,power_shot_power,power_jumping,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,league_level,nationality_rank,club_contract_valid_until,work_rate
4135,33,71,10000,184,86,70,70,62,66,38,70,48,77,70,62,58,71,83,58,25,67,63,1,1,2021,6
3267,27,72,35000,181,74,64,67,67,69,70,72,52,63,73,67,71,72,58,78,73,70,46,1,3,2024,8
5714,29,69,8000,173,70,84,60,61,71,30,45,73,30,60,72,58,72,61,37,21,62,48,1,2,2021,7
10955,19,65,3000,180,70,73,58,60,66,41,51,59,37,66,65,55,58,61,31,31,55,47,1,9,2023,8
8892,29,66,2000,183,70,63,51,63,61,64,72,64,63,67,60,55,59,70,68,61,59,65,2,2,2023,6
4281,26,71,9000,186,76,71,67,70,72,67,74,64,57,73,73,75,73,71,80,71,72,67,1,6,2022,4
10472,25,65,3000,178,72,91,47,59,64,55,67,61,47,59,62,54,55,80,62,54,57,37,3,3,2023,8
9722,19,66,2000,169,62,82,52,55,65,60,58,60,51,62,64,60,57,67,72,58,41,55,1,6,2025,8
739,32,78,30000,178,72,67,78,79,76,65,72,80,52,77,76,79,82,63,72,69,80,77,1,5,2023,6
15276,22,60,600,185,70,63,55,61,62,44,57,50,43,64,62,67,63,58,43,48,63,40,1,3,2021,6
7198,27,68,11000,182,73,72,63,70,69,46,59,64,53,79,68,63,66,56,47,33,63,57,2,2,2022,8
9532,20,66,3000,190,87,48,29,43,46,66,75,31,68,58,37,29,41,49,70,63,30,34,1,9,2023,6
5483,36,69,3000,185,84,35,70,69,62,69,69,72,59,67,64,78,79,60,65,71,68,71,2,5,2022,6
12275,29,63,1000,188,82,57,62,65,63,59,67,65,62,66,64,64,68,75,64,62,63,61,1,3,2022,5
7991,28,67,4000,174,68,38,41,64,64,65,64,57,54,68,60,58,59,64,63,67,66,55,1,4,2022,6
895,32,77,29000,196,83,45,79,57,65,50,76,38,91,73,66,61,80,44,75,39,69,90,1,7,2022,6
13101,20,63,2000,176,70,77,61,56,67,35,55,57,43,58,69,69,68,53,33,32,55,49,1,1,2023,8
5266,27,70,12000,184,77,64,64,67,68,66,69,56,63,73,66,62,77,70,76,68,70,50,1,6,2023,6
6764,34,68,6000,184,86,32,31,41,47,69,73,34,67,57,37,27,42,78,80,63,32,67,1,1,2023,4
5283,22,70,13000,188,80,73,33,51,51,72,71,35,67,61,39,31,47,59,64,69,52,44,1,4,2024,6
17552,19,56,900,188,78,68,24,40,46,54,65,22,56,52,42,21,32,62,54,52,36,30,3,3,2023,6
11738,22,64,1000,178,72,78,48,57,64,59,63,63,54,61,65,52,50,58,50,56,53,55,2,2,2023,6
3727,21,72,7000,188,82,60,37,52,55,73,77,38,69,63,50,36,55,70,77,71,53,49,1,1,2022,6
13790,22,62,1000,183,70,71,57,63,65,52,65,62,44,64,64,56,64,56,61,53,65,54,3,3,2024,6
1486,36,75,13000,176,71,70,79,73,80,35,64,64,54,76,80,79,83,60,70,32,74,80,1,1,2021,8
15181,31,60,500,185,84,64,59,50,59,27,70,46,60,55,57,44,59,75,57,20,54,60,5,3,2023,6
1078,23,77,45000,178,67,77,69,73,81,47,68,70,49,77,83,71,68,67,58,49,76,69,1,3,2025,6
5962,21,69,6000,180,73,61,46,55,62,72,67,36,70,71,60,32,56,81,64,74,50,48,1,6,2024,2
13245,17,63,3000,179,73,72,62,46,60,20,56,43,63,50,57,45,62,76,57,13,48,66,1,3,2023,8
377,23,81,65000,175,70,75,75,81,85,66,71,70,59,86,86,80,72,66,69,69,84,74,1,2,2023,7
17424,19,57,600,193,78,61,27,41,44,56,66,33,58,53,39,35,45,65,54,56,34,32,2,2,2022,6
7774,30,67,1000,180,73,80,49,57,61,58,70,67,44,63,57,49,62,56,64,59,51,52,3,4,2023,9
13260,33,63,500,184,80,64,27,53,53,63,68,56,65,63,51,51,39,70,56,62,36,33,1,1,2021,6
18892,20,51,1000,179,67,59,26,34,50,47,51,47,39,29,56,30,28,56,53,49,39,36,2,3,2022,6
7376,20,68,7000,178,72,77,73,61,72,38,65,67,43,64,73,63,73,73,48,25,52,72,1,2,2022,6
4790,30,70,4000,175,68,82,63,68,70,27,66,73,47,70,69,60,67,79,53,45,61,67,2,2,2023,8
6946,25,68,4000,180,74,68,62,61,69,63,69,67,58,61,69,65,70,67,68,64,64,48,1,10,2023,8
1504,34,75,10000,176,70,71,69,74,75,72,69,80,73,74,75,82,87,61,74,74,66,61,1,10,2023,8
13638,22,62,4000,180,70,72,33,49,60,58,64,57,50,52,59,47,51,65,56,56,43,32,2,3,2021,8
5387,22,70,7000,179,73,80,59,67,72,65,66,55,52,74,72,53,72,59,56,62,69,58,1,10,2022,8
2231,26,74,19000,179,69,80,65,72,72,38,67,73,45,73,74,71,68,68,48,30,75,59,1,1,2023,8
17778,21,56,850,177,70,66,46,52,60,29,47,53,34,56,63,42,56,45,38,23,53,52,2,2,2025,6
10842,18,65,1000,169,59,72,55,63,68,53,57,49,45,71,65,55,63,61,64,43,67,57,1,1,2023,6
8188,25,67,4000,190,83,67,66,59,63,29,66,58,67,63,63,41,67,71,25,29,57,61,1,5,2024,8
357,25,81,82000,178,72,67,65,76,75,78,82,70,65,80,73,62,75,82,86,77,74,58,1,3,2024,4
2858,31,73,16000,175,68,85,69,66,74,52,55,68,50,71,77,66,70,75,53,56,59,64,1,5,2022,8
877,34,77,27000,172,70,83,77,74,75,41,67,69,67,79,73,74,82,83,66,38,75,81,1,2,2023,6
6643,26,68,14000,188,81,72,64,66,67,58,75,63,58,69,67,54,74,59,59,52,69,48,2,3,2022,9
2944,23,73,23000,173,67,58,47,71,78,55,58,57,29,80,75,60,57,54,76,63,75,40,1,4,2022,6
8033,25,67,8000,186,84,52,29,34,45,67,74,27,67,40,29,25,37,78,71,67,33,38,1,6,2024,6
3487,26,72,20000,179,68,74,60,69,75,56,71,61,65,77,73,53,65,82,52,59,70,54,2,4,2024,4
67,25,86,175000,191,82,61,70,77,78,82,82,63,78,85,78,65,83,72,76,83,81,46,1,5,2024,4
6566,27,68,4000,178,64,70,62,66,69,63,70,58,49,69,66,69,64,78,62,64,68,68,3,3,2022,8
1139,36,76,32000,179,72,63,69,82,77,64,63,80,50,83,77,86,80,41,66,65,80,76,1,1,2022,6
1772,26,75,44000,188,81,84,70,70,75,67,76,72,69,74,77,69,75,61,75,69,68,52,1,4,2024,8
13454,32,62,700,174,70,88,59,58,64,40,57,59,52,58,60,62,65,74,58,50,61,50,3,4,2022,6
6331,23,69,6000,187,80,60,32,45,52,68,80,30,63,58,45,33,49,80,84,71,37,47,1,1,2022,3
16460,24,59,3000,186,81,60,44,54,48,57,67,52,59,60,42,42,50,72,59,56,49,51,2,4,2022,6
14424,29,61,3000,188,78,60,60,54,60,31,67,52,62,57,59,53,60,73,66,43,58,58,4,3,2022,6
17532,19,56,4000,186,78,57,31,35,37,58,62,30,54,39,32,35,47,68,49,60,32,46,1,2,2022,6
12227,19,64,6000,175,69,69,59,63,67,52,55,53,47,69,66,48,61,66,54,57,65,64,1,5,2022,6
4005,31,71,20000,197,83,43,47,40,41,71,81,21,80,51,33,24,63,74,79,68,42,36,2,3,2022,6
15963,30,59,500,176,77,63,30,53,57,55,64,57,49,56,55,56,51,62,68,54,48,35,1,3,2021,6
3290,24,72,51000,173,66,78,63,69,79,24,37,72,39,72,80,69,70,31,32,21,67,55,1,9,2022,6
4352,25,71,19000,180,72,70,75,58,69,26,61,47,67,66,67,64,77,67,40,16,52,70,2,5,2022,6
7226,22,68,2000,186,76,70,64,64,66,60,72,60,59,70,61,48,72,72,68,66,66,50,3,4,2022,8
3644,25,72,900,179,71,83,65,68,75,41,56,70,44,68,76,69,62,58,69,35,70,59,1,1,2023,9
4875,32,70,650,180,73,64,68,68,73,63,68,68,45,74,73,58,64,57,71,72,64,62,1,6,2022,4
1084,23,77,28000,175,64,87,73,75,80,68,68,70,57,76,80,80,77,71,65,70,78,65,1,2,2024,6
17640,24,56,1000,179,70,71,54,50,58,24,44,53,45,52,59,42,61,43,30,21,54,47,1,6,2022,6
5874,28,69,5000,179,76,70,73,62,69,35,67,48,50,67,69,72,79,54,50,36,65,61,2,4,2022,8
10238,28,65,4000,171,75,74,55,68,67,50,57,62,53,73,66,68,63,58,46,39,68,66,1,6,2023,6
16804,18,58,650,183,67,64,43,59,57,57,59,48,52,68,58,41,57,66,58,59,57,50,1,7,2023,4
3636,31,72,19000,185,80,36,43,57,53,71,88,41,60,66,50,41,68,47,87,75,60,38,1,5,2023,4
11791,21,64,1000,173,63,53,39,58,63,62,62,46,58,66,63,44,53,65,63,65,58,46,2,2,2023,6
12234,18,64,1000,180,75,65,59,62,65,32,50,65,46,66,69,53,68,44,34,27,58,70,2,5,2025,6
3063,27,73,9000,184,71,75,30,50,58,74,72,40,69,66,51,33,48,83,73,74,28,47,1,6,2022,6
3202,31,72,15000,185,78,64,39,67,66,72,71,70,73,72,62,42,56,77,71,72,65,42,1,2,2023,6
17398,18,57,2000,176,68,75,32,46,54,52,51,51,48,52,55,48,38,60,46,49,39,26,2,3,2024,9
2321,27,74,9000,164,63,89,69,68,75,42,53,67,46,71,73,69,75,68,65,36,69,52,1,1,2024,8
10717,21,65,6000,185,74,60,66,52,64,28,68,47,65,57,62,55,74,68,39,21,56,67,2,7,2024,6
11509,24,64,2000,189,73,69,45,59,60,59,70,63,57,60,61,67,53,71,57,59,55,46,3,3,2023,6
12421,24,63,4000,170,74,86,58,55,65,31,63,55,55,57,64,65,57,82,48,33,55,54,4,3,2023,8
12322,29,63,4000,180,73,63,54,58,61,60,72,50,55,64,60,24,58,61,69,59,63,51,4,3,2023,6
1839,37,75,12000,180,71,76,76,61,73,30,64,61,77,62,76,62,76,55,57,34,65,64,1,6,2024,8
5937,26,69,3000,177,70,64,64,70,71,58,63,67,49,74,70,59,81,57,59,60,66,70,1,10,2023,6
7146,24,68,9000,170,65,72,65,62,72,30,53,67,47,65,73,57,62,49,65,20,61,58,1,2,2023,8
1004,24,77,100000,179,68,60,68,77,82,66,67,74,41,80,83,77,76,51,75,71,76,55,1,5,2023,6
10923,23,65,2000,183,83,74,55,65,62,57,70,71,48,64,63,66,61,63,57,57,61,45,1,7,2023,8
13927,21,62,3000,196,76,69,27,46,49,61,72,25,57,58,44,38,38,67,61,60,49,39,2,3,2023,6
1321,25,76,25000,178,69,73,63,71,76,75,77,58,62,81,75,59,66,68,75,77,71,47,1,2,2024,6
526,33,79,34000,190,80,33,70,75,70,77,79,59,82,82,69,66,79,73,75,76,77,69,1,5,2024,6
1609,27,75,41000,188,83,51,32,44,53,76,77,34,73,64,50,20,52,72,75,76,22,35,2,6,2022,4
627,25,79,26000,177,75,67,62,74,75,78,76,75,59,78,75,48,72,71,81,79,73,61,1,6,2024,9
2952,25,73,23000,191,90,52,41,61,47,73,84,57,51,71,42,23,55,57,83,74,52,55,1,6,2024,6
5232,22,70,9000,174,66,76,70,58,73,22,65,44,67,66,72,68,67,77,51,15,65,66,1,6,2022,5
7753,26,67,13000,178,72,47,59,68,66,59,59,62,60,73,62,69,66,61,70,63,70,64,1,8,2023,6
16077,20,59,1000,194,75,53,35,42,40,60,64,33,59,49,36,34,51,66,55,59,35,35,3,3,2023,6
8486,20,67,3000,175,76,83,45,60,71,59,71,68,46,62,72,55,52,67,73,57,56,43,1,1,2022,6
2497,30,73,25000,194,84,45,29,41,48,74,79,30,80,53,43,20,52,80,80,73,31,47,2,3,2022,4
3725,22,72,18000,182,78,70,59,74,73,61,69,67,59,78,72,69,69,63,69,62,75,61,2,1,2024,6
5588,30,69,5000,184,80,46,31,50,49,70,75,43,73,64,44,30,46,69,64,69,37,38,2,2,2023,6
15884,21,60,1000,186,72,63,42,55,59,58,57,52,64,61,58,48,54,55,68,59,48,49,2,5,2022,4
12316,30,63,2000,188,90,49,63,52,60,32,73,39,67,60,59,55,66,66,67,39,57,57,3,4,2023,6
4297,21,71,6000,174,78,69,56,66,74,68,71,72,52,66,75,74,62,72,62,59,59,55,1,6,2024,6
2442,34,73,13000,186,75,34,63,68,66,72,74,68,80,72,65,52,74,84,80,75,66,75,1,7,2022,6
321,30,81,58000,173,67,76,77,79,80,76,62,77,70,83,75,73,82,73,66,77,81,74,1,8,2022,8
5582,36,69,4000,184,75,68,68,65,70,34,69,64,73,66,69,67,70,71,69,43,68,70,1,10,2022,5
12873,21,63,2000,178,72,81,49,49,60,55,57,57,35,51,59,46,54,70,38,57,47,47,4,3,2023,9
9054,24,66,4000,187,73,55,67,54,67,22,58,47,68,63,68,52,70,69,32,18,53,75,1,1,2021,7
4351,23,71,7000,175,72,71,42,56,65,71,66,59,68,66,62,33,49,76,70,70,51,45,1,1,2023,6
11085,32,64,3000,178,73,77,62,62,67,28,61,67,58,59,65,67,68,79,56,23,68,58,1,10,2022,7
9160,23,66,4000,168,71,73,56,69,72,38,50,71,45,68,71,73,61,41,53,32,70,62,1,4,2023,6
3952,28,71,16000,189,82,59,28,56,59,70,72,49,73,70,55,27,55,59,74,71,54,43,2,5,2022,3
15807,19,60,1000,180,70,72,30,54,59,58,60,40,46,64,56,39,50,72,65,62,58,32,1,9,2024,6
5394,18,70,16000,185,75,73,70,46,72,22,63,41,62,48,73,52,72,72,54,17,56,70,1,10,2025,4
13475,28,62,3000,175,81,90,53,52,63,28,59,58,40,53,61,54,55,64,47,35,55,53,4,3,2023,6
3772,27,72,18000,177,74,82,64,68,74,42,57,66,52,71,78,63,68,59,43,30,67,57,2,2,2022,7
4849,32,70,7000,179,78,65,49,62,64,68,76,64,58,68,62,50,73,70,82,75,56,53,1,1,2022,6
5547,34,69,4000,178,75,62,50,64,68,68,73,67,59,68,67,67,61,79,74,70,59,51,2,2,2022,6
7158,23,68,5000,179,66,68,36,53,65,67,69,60,70,61,65,50,46,72,70,64,40,46,1,10,2022,6
1832,25,75,22000,182,81,73,44,64,65,75,73,74,70,72,63,51,44,47,71,74,49,53,1,6,2024,6
658,22,79,70000,181,79,84,62,71,74,74,77,77,70,77,74,73,77,79,80,72,65,48,1,6,2026,8
3941,32,71,6000,185,79,47,58,63,58,71,81,59,77,68,53,47,66,81,76,69,60,49,2,5,2023,6
5421,19,70,19000,179,70,67,49,68,73,62,64,52,42,75,72,65,66,60,68,62,72,56,1,8,2022,6
8447,25,67,3000,183,76,72,40,59,65,63,63,64,43,65,66,67,49,57,64,67,47,49,1,10,2022,6
1689,27,75,12000,187,81,61,32,52,65,75,79,32,74,70,66,33,60,80,82,72,41,39,1,10,2026,4
14918,20,61,4000,186,77,55,32,41,44,62,65,29,62,51,40,33,44,65,62,59,38,45,1,3,2022,6
6624,30,68,4000,181,76,72,69,66,61,47,80,68,64,62,64,67,70,75,60,39,68,74,2,5,2023,8
13156,18,63,1000,195,63,73,60,50,58,29,63,43,68,58,57,48,66,65,34,27,53,61,1,7,2024,6
13398,33,62,2000,183,78,68,59,62,62,59,74,63,52,63,62,61,62,90,60,59,62,51,4,3,2022,4
1102,23,77,47000,180,72,87,71,64,82,45,60,66,80,69,84,59,69,79,67,39,68,79,1,1,2026,8
1668,28,75,23000,183,81,64,55,65,71,73,80,56,65,74,72,61,75,82,80,75,65,51,1,2,2022,3
11071,36,64,3000,185,69,42,60,61,63,66,79,60,59,63,62,61,65,85,80,70,62,59,4,3,2022,4
2237,32,74,21000,175,74,73,58,73,70,71,73,77,65,74,67,68,61,62,69,70,73,63,1,5,2022,8
7431,18,68,1000,173,63,68,53,64,73,62,55,55,52,69,72,53,56,56,65,65,68,41,2,2,2024,9
7768,27,67,5000,169,71,76,51,58,67,63,59,65,55,64,64,45,66,81,52,62,45,52,2,3,2024,6
11149,32,64,1000,185,78,64,42,59,63,63,69,62,60,62,61,55,49,77,60,62,53,43,3,4,2022,6
12653,25,63,1000,178,76,57,55,60,59,58,72,54,62,67,58,47,60,63,69,58,57,52,2,2,2022,4
9266,25,66,7000,175,70,72,32,61,64,61,60,62,47,64,62,52,31,61,63,64,63,41,2,6,2022,6
1333,31,76,13000,190,82,57,77,61,73,30,81,58,83,70,77,46,81,74,82,25,60,75,2,10,2022,8
10437,22,65,3000,185,70,71,65,58,68,33,60,59,62,66,68,53,66,62,58,25,59,62,2,5,2022,6
2816,31,73,8000,176,93,62,72,57,69,29,82,52,76,65,68,52,80,74,76,19,54,66,1,1,2022,7
523,31,79,2000,182,80,65,64,74,74,75,78,62,62,81,73,70,68,70,83,81,74,68,1,2,2023,9
12466,27,63,2000,189,85,51,32,38,39,62,76,29,63,48,32,35,44,44,72,58,31,48,1,1,2026,6
2247,29,74,30000,172,71,76,63,71,70,72,66,74,69,74,68,68,61,63,65,71,67,66,1,6,2024,6
12237,19,64,1000,180,74,65,48,64,66,56,64,53,56,70,66,62,57,66,59,49,66,48,1,10,2023,6
978,28,77,45000,178,67,70,49,71,71,73,77,60,56,78,70,56,61,79,77,73,75,46,1,1,2023,2
3936,32,71,7000,176,73,69,62,72,71,62,65,70,64,73,70,68,61,54,68,64,75,58,2,2,2023,4
14801,21,61,1000,187,75,67,33,49,55,60,67,27,65,63,59,29,34,57,70,55,53,37,1,9,2022,8
8514,33,67,500,187,85,69,64,52,68,45,73,48,71,58,65,39,59,70,49,42,55,72,1,1,2021,6
3697,24,72,7000,182,75,73,41,61,68,68,74,66,57,66,70,60,55,72,74,70,56,48,1,10,2023,8
6952,23,68,35000,181,68,69,60,65,74,35,58,60,52,67,75,73,58,59,50,33,67,62,1,6,2025,6
4023,29,71,34000,172,69,73,67,70,75,48,65,72,56,71,73,75,73,69,80,48,69,68,2,2,2023,8
180,24,83,77000,175,69,78,71,82,84,76,70,88,65,81,84,83,80,73,77,80,79,55,1,5,2025,9
11382,29,64,4000,180,72,68,62,62,67,57,64,54,46,66,63,66,61,69,67,63,64,51,3,3,2022,8
2835,23,73,48000,178,64,64,45,62,66,74,74,43,64,75,63,50,67,69,88,76,59,45,1,3,2023,4
16258,18,59,3000,185,70,59,29,36,41,62,55,35,62,41,37,28,47,74,57,59,32,47,1,3,2022,6
10948,21,65,2000,169,55,78,43,52,65,60,51,68,47,52,64,42,48,63,60,61,48,41,2,5,2022,6
10914,20,65,500,174,73,84,49,61,70,58,64,66,41,58,72,68,57,52,80,58,63,33,1,6,2023,7
5718,28,69,7000,172,63,66,41,62,65,67,71,53,61,68,60,68,53,71,77,70,59,50,1,7,2022,3
1465,40,75,900,174,69,42,71,80,75,38,50,79,45,80,77,82,69,45,75,42,85,80,1,1,2021,5
11689,21,64,750,187,73,66,29,41,47,65,69,27,65,61,36,28,43,65,57,63,32,48,1,1,2021,6
11385,30,64,2000,184,73,80,46,56,62,57,64,58,51,53,59,51,50,51,43,57,63,47,3,3,2022,9
9713,19,66,1000,186,74,63,50,61,61,65,64,50,61,67,61,37,51,59,65,65,67,50,2,5,2022,4
151,30,83,38000,176,65,83,80,85,82,67,71,81,50,84,82,85,78,38,68,77,89,80,1,5,2023,8
8281,21,67,4000,196,91,62,33,43,52,68,70,34,69,61,51,29,47,55,62,65,28,43,2,4,2023,6
2286,24,74,17000,179,82,81,64,72,73,70,75,76,58,72,75,83,82,80,70,68,66,55,2,1,2022,8
7628,30,67,4000,170,69,80,67,60,65,42,77,58,68,66,63,62,71,74,74,52,52,73,2,5,2022,9
10325,33,65,7000,177,72,90,64,52,71,23,52,51,56,61,77,41,62,45,41,23,44,77,1,6,2024,6
10768,21,65,3000,186,80,65,34,48,48,64,72,39,66,54,36,26,57,72,71,62,49,33,2,4,2022,6
5745,26,69,3000,184,82,65,70,58,68,22,67,46,68,64,65,65,71,68,33,14,64,74,1,6,2022,5
13741,24,62,500,183,72,72,36,54,60,59,65,56,54,55,62,45,35,81,63,58,50,44,1,3,2021,6
8241,22,67,9000,193,78,75,45,54,63,63,73,62,55,56,64,49,59,44,69,62,53,52,2,3,2023,8
6801,29,68,500,183,70,76,65,60,68,27,57,70,67,65,70,40,66,76,31,16,60,66,1,1,2021,8
10677,22,65,3000,175,76,72,56,58,68,59,68,67,55,59,68,62,70,81,66,57,49,42,1,1,2023,6
7688,29,67,5000,176,77,74,41,54,67,62,74,55,63,57,68,46,56,76,82,66,47,48,1,1,2022,6
1319,25,76,33000,180,69,69,67,72,74,74,76,67,67,76,73,63,78,84,74,81,73,40,1,3,2024,4
14015,20,62,3000,170,67,58,26,48,54,63,43,60,58,60,48,33,26,55,51,65,37,39,2,5,2022,6
10999,22,65,3000,178,75,67,58,63,64,60,64,56,48,70,63,46,63,68,65,60,62,53,1,1,2024,6
5988,23,69,4000,181,75,62,38,53,61,69,70,52,66,61,57,48,46,80,62,69,35,40,2,5,2022,4
11705,24,64,2000,186,76,54,33,38,47,65,67,28,62,50,41,29,46,76,70,63,32,42,1,6,2024,6
1859,33,75,14000,185,83,68,78,55,71,29,76,50,79,64,74,45,80,80,75,15,56,72,1,1,2023,6
1634,30,75,9000,171,71,71,63,77,75,64,69,74,50,81,74,68,68,46,65,61,77,57,1,6,2022,6
83,30,85,220000,176,73,80,84,84,87,52,72,83,83,84,85,86,82,90,73,49,85,79,1,2,2022,6
10470,27,65,2000,175,69,76,65,56,67,18,69,54,55,62,66,45,70,78,68,16,58,61,2,2,2023,8
11570,25,64,2000,184,77,72,62,65,64,58,71,65,53,63,63,56,61,67,63,50,69,61,2,5,2023,6
16320,18,59,500,181,76,65,54,58,59,52,60,45,58,66,61,49,70,62,67,50,53,56,2,5,2022,6
16068,21,59,2000,174,65,70,29,54,56,55,55,58,45,56,53,60,54,56,50,55,50,27,4,3,2022,6
9623,21,66,6000,183,68,82,46,59,62,56,57,64,46,64,65,52,50,75,49,60,55,40,2,3,2023,8
3403,33,72,17000,186,75,72,75,58,63,33,76,64,83,61,64,49,75,88,75,23,65,86,1,1,2023,6
9171,24,66,3000,177,63,85,46,55,64,58,71,61,55,58,62,34,45,84,56,55,55,33,3,3,2023,6
743,31,78,28000,185,75,59,60,75,75,76,75,78,67,76,74,65,69,80,74,76,74,65,1,4,2023,6
9104,28,66,2000,184,74,55,50,52,56,67,67,30,64,62,51,26,49,57,54,69,61,33,2,5,2022,6
6951,25,68,9000,184,81,73,39,56,61,67,70,61,63,63,60,46,61,84,58,67,45,42,2,4,2023,6
2250,29,74,28000,188,78,56,50,61,51,76,75,61,73,67,45,54,71,86,80,72,44,77,1,6,2024,6
15862,20,60,500,187,82,68,37,51,58,54,70,54,51,55,60,53,43,59,67,52,45,36,3,4,2024,9
